Марка;Город!;Ссылка;Цена в рубля!;Цена в долорах!
KiaStinger;Минск;https://cars.av.by/kia/stinger/101405578;92 830 р.;≈ 36 500 $
KiaRioIV X-Line;Минск;https://cars.av.by/kia/rio/101241916;35 555 р.;≈ 13 980 $
KiaRioIV X · Рестайлинг;Минск;https://cars.av.by/kia/rio/101364212;54 656 р.;≈ 21 490 $
KiaRioIV X-Line;Минск;https://cars.av.by/kia/rio/101229308;38 099 р.;≈ 14 980 $
KiaRioIV;Минск;https://cars.av.by/kia/rio/101321632;38 150 р.;≈ 15 000 $
KiaCarensII · Рестайлинг;Минск;https://cars.av.by/kia/carens/101372209;19 583 р.;≈ 7 700 $
KiaRioIV X · Рестайлинг;Минск;https://cars.av.by/kia/rio/101355295;64 727 р.;≈ 25 450 $
KiaSorentoI;Светлогорск;https://cars.av.by/kia/sorento/101405350;16 531 р.;≈ 6 500 $
KiaCeratoIV;Минск;https://cars.av.by/kia/cerato/101318382;61 039 р.;≈ 24 000 $
KiaOptimaIV;Гродно;https://cars.av.by/kia/optima/100856833;50 866 р.;≈ 20 000 $
KiaCarensII;Минск;https://cars.av.by/kia/carens/101320183;16 531 р.;≈ 6 500 $
KiaRioIII · Рестайлинг;Брест;https://cars.av.by/kia/rio/101405700;26 450 р.;≈ 10 400 $
KiaCee'dII · Рестайлинг;Барановичи;https://cars.av.by/kia/ceed/101071288;28 231 р.;≈ 11 100 $
KiaOptimaIII;Минск;https://cars.av.by/kia/optima/101301220;36 852 р.;≈ 14 490 $
KiaSportageIV;Брест;https://cars.av.by/kia/sportage/100855931;52 138 р.;≈ 20 500 $
KiaSportageII · Рестайлинг;Минск;https://cars.av.by/kia/sportage/101393404;26 959 р.;≈ 10 600 $
KiaNiro;Гродно;https://cars.av.by/kia/niro/101308888;50 357 р.;≈ 19 800 $
KiaRioIV · Рестайлинг;Минск;https://cars.av.by/kia/rio/101403269;36 929 р.;≈ 14 520 $
KiaCarnivalI,7 мест;Молодечно;https://cars.av.by/kia/carnival/101370642;3 815 р.;≈ 1500 $
KiaRioII;Шклов;https://cars.av.by/kia/rio/101169932;11 445 р.;≈ 4 500 $
KiaRioIII;Речица;https://cars.av.by/kia/rio/101204295;22 763 р.;≈ 8 950 $
KiaSephiaI · Рестайлинг;Воложин;https://cars.av.by/kia/sephia/100713966;2 543 р.;≈ 1000 $
KiaNiro;Минск;https://cars.av.by/kia/niro/101014679;57 733 р.;≈ 22 700 $
KiaRioIII;Минск;https://cars.av.by/kia/rio/101405260;26 959 р.;≈ 10 600 $
KiaK5II;Шклов;https://cars.av.by/kia/k5/101378750;76 299 р.;≈ 30 000 $
